Country,Average
Austria,43.24444444444445
Belgium,41.599999999999994
Bulgaria,45.34444444444444
Cyprus,37.511111111111106
Czechia,42.28888888888889
Denmark,41.8
Estonia,41.955555555555556
Finland,42.8
France,41.53333333333333
Germany,45.86666666666667
Hungary,42.633333333333326
Ireland,37.28888888888889
Italy,46.388888888888886
Latvia,43.27777777777778
Lithuania,43.74444444444445
Luxembourg,39.43333333333333
Malta,40.32222222222222
Norway,39.58888888888888
Poland,40.66666666666666
Portugal,44.95555555555555
Romania,42.099999999999994
Slovakia,40.2
Slovenia,43.666666666666664
Spain,43.47777777777779
Sweden,40.71111111111111
Türkiye,31.562499999999996
