Country,Average Inflation
Belgium,106.95444444444443
Bulgaria,105.13
Czechia,108.34444444444445
Denmark,102.97777777777777
Germany,105.0
Estonia,109.47888888888889
Ireland,102.13333333333334
Greece,102.31222222222223
Spain,104.06666666666666
France,104.16222222222223
Croatia,103.50666666666667
Italy,103.22222222222223
Cyprus,101.39666666666668
Latvia,107.69777777777777
Lithuania,109.58555555555556
Luxembourg,105.1511111111111
Hungary,109.77111111111111
Malta,104.28777777777779
Netherlands,105.53555555555555
Austria,106.30888888888889
Poland,106.84444444444443
Portugal,103.4011111111111
Romania,107.39
Slovenia,104.35777777777778
Slovakia,106.17888888888888
Finland,103.51333333333334
Sweden,105.89111111111112
Iceland,102.69222222222223
Norway,109.1888888888889
Switzerland,100.91111111111111
Montenegro,106.035
North Macedonia,106.16222222222221
Albania,109.42
Serbia,108.30000000000001
Türkiye,165.06777777777776
United States,106.19777777777777
