Country,Year,Env Awareness
Belgium,2014,0.95
Bulgaria,2014,0.94
Czechia,2014,0.93
Denmark,2014,0.96
Germany,2014,0.94
Estonia,2014,0.96
Ireland,2014,0.94
Spain,2014,0.96
France,2014,0.95
Italy,2014,0.95
Cyprus,2014,0.98
Latvia,2014,0.93
Lithuania,2014,0.93
Luxembourg,2014,0.97
Hungary,2014,0.95
Malta,2014,0.99
Austria,2014,0.91
Poland,2014,0.91
Portugal,2014,0.97
Romania,2014,0.91
Slovenia,2014,0.99
Slovakia,2014,0.94
Finland,2014,0.94
Sweden,2014,1.0
Belgium,2017,0.95
Bulgaria,2017,0.94
Czechia,2017,0.94
Denmark,2017,0.98
Germany,2017,0.94
Estonia,2017,0.94
Ireland,2017,0.96
Spain,2017,0.97
France,2017,0.97
Italy,2017,0.95
Cyprus,2017,0.99
Latvia,2017,0.92
Lithuania,2017,0.94
Luxembourg,2017,0.98
Hungary,2017,0.94
Malta,2017,0.97
Austria,2017,0.85
Poland,2017,0.91
Portugal,2017,0.99
Romania,2017,0.87
Slovenia,2017,0.96
Slovakia,2017,0.9
Finland,2017,0.95
Sweden,2017,0.99
Belgium,2020,0.95
Bulgaria,2020,0.91
Czechia,2020,0.93
Denmark,2020,0.96
Germany,2020,0.94
Estonia,2020,0.92
Ireland,2020,0.93
Spain,2020,0.97
France,2020,0.96
Italy,2020,0.94
Cyprus,2020,0.97
Latvia,2020,0.9
Lithuania,2020,0.92
Luxembourg,2020,0.96
Hungary,2020,0.95
Malta,2020,0.98
Austria,2020,0.86
Poland,2020,0.88
Portugal,2020,0.99
Romania,2020,0.87
Slovenia,2020,0.95
Slovakia,2020,0.94
Finland,2020,0.95
Sweden,2020,0.99
