Country,Year,Higher Education Population,Per Capita Waste,Per Capita Income,Tourist Count,Low Value Manufacturing,High Value Manufacturing
Belgium,2008,28.4,480,19187,12429534,:,:
Belgium,2009,29.4,467,20550,12243246,:,19456
Belgium,2010,30.7,456,20816,12988051,:,:
Belgium,2011,30.4,455,21280,13618136,:,:
Belgium,2012,31.3,445,21668,13872644,15520,26962
Belgium,2013,31.5,436,23048,14152360,15064,29505
Belgium,2014,32.6,425,23100,14641070,16168,29183
Belgium,2015,32.7,412,23208,15846926,14847,30213
Belgium,2016,33.2,419,23703,15210781,14736,31882
Belgium,2017,35.6,411,24067,16319257,15763,34499
Belgium,2018,36.0,409,24990,17559915,13333,36313
Belgium,2019,36.0,416,25926,18057611,16555,40860
Belgium,2020,37.6,729,27491,7376417,16929,:
Bulgaria,2008,18.9,599,2417,4971863,17039,5957
Bulgaria,2009,19.2,598,3097,4340663,17979,7441
Bulgaria,2010,19.7,554,3242,4344510,17197,7623
Bulgaria,2011,20.1,508,3190,4936967,17028,8183
Bulgaria,2012,20.7,460,3110,5494014,17017,8843
Bulgaria,2013,22.2,432,3213,5847289,17373,9620
Bulgaria,2014,23.6,442,3582,5945908,17521,10333
Bulgaria,2015,24.1,419,3679,6279036,17875,11258
Bulgaria,2016,24.4,404,3456,7196397,18210,12333
Bulgaria,2017,24.5,435,4053,7461646,18171,13230
Bulgaria,2018,24.8,407,3909,7799680,18210,13977
Bulgaria,2019,24.7,442,4744,8187634,18063,14862
Bulgaria,2020,25.8,408,5176,4023763,17295,:
Czechia,2008,12.4,306,6450,12835886,:,33071
Czechia,2009,13.4,317,7848,11985909,61603,34984
Czechia,2010,14.5,318,7532,12211878,66815,33476
Czechia,2011,15.8,320,7934,12898712,69752,33816
Czechia,2012,17.0,308,8279,15098817,70413,33965
Czechia,2013,18.1,307,8133,15407671,67333,33992
Czechia,2014,19.1,310,8071,15587076,67535,34900
Czechia,2015,19.8,316,7919,17195550,68133,36510
