Country;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Belgium;99.38;100.00;101.77;104.03;106.44;107.77;108.23;111.71;123.26;126.07
Bulgaria;101.08;100.00;98.68;99.85;102.48;104.99;106.27;109.30;123.52;134.15
Czechia;99.8;100.0;100.7;103.1;105.1;107.8;111.4;115.1;132.1;147.9
Denmark;99.8;100.0;100.0;101.1;101.8;102.5;102.9;104.9;113.8;117.6
Germany;99.3;100.0;100.4;102.1;104.0;105.5;105.8;109.2;118.7;125.9
Estonia;99.93;100.00;100.80;104.48;108.05;110.50;109.80;114.72;137.03;149.52
Ireland;100.0;100.0;99.8;100.1;100.8;101.7;101.2;103.6;112.0;117.8
Greece;101.11;100.00;100.02;101.15;101.94;102.46;101.17;101.75;111.21;115.84
Spain;100.63;100.00;99.66;101.69;103.46;104.26;103.91;107.04;115.95;119.89
France;99.91;100.00;100.31;101.47;103.60;104.95;105.50;107.68;114.04;120.50
Croatia;100.26;100.00;99.37;100.67;102.23;103.04;103.06;105.82;117.11;126.94
Italy;99.9;100.0;99.9;101.3;102.5;103.2;103.0;105.0;114.2;120.9
Cyprus;101.57;100.00;98.78;99.45;100.23;100.78;99.67;101.92;110.17;114.50
Latvia;99.79;100.00;100.10;103.00;105.63;108.53;108.62;112.14;131.47;143.38
Lithuania;100.68;100.00;100.68;104.42;107.07;109.47;110.63;115.75;137.57;149.52
Luxembourg;99.94;100.00;100.04;102.15;104.21;105.93;105.93;109.61;118.55;122.02
Hungary;99.94;100.00;100.45;102.84;105.84;109.46;113.15;119.04;137.22;160.59
Malta;98.84;100.00;100.90;102.18;103.95;105.54;106.37;107.12;113.69;120.01
Netherlands;99.79;100.00;100.11;101.40;103.02;105.78;106.96;109.98;122.78;127.81
Austria;99.20;100.00;100.97;103.22;105.41;106.98;108.47;111.46;121.07;130.40
Poland;100.7;100.0;99.8;101.4;102.6;104.8;108.6;114.3;129.4;143.5
Portugal;99.50;100.00;100.64;102.20;103.40;103.71;103.58;104.55;113.03;118.98
Romania;100.41;100.00;98.93;100.00;104.08;108.15;110.67;115.21;129.06;141.64
Slovenia;100.77;100.00;99.85;101.40;103.36;105.11;104.82;106.97;116.94;125.38
Slovakia;100.35;100.00;99.52;100.90;103.46;106.33;108.47;111.53;125.05;138.79
Finland;100.16;100.00;100.39;101.23;102.42;103.58;103.98;106.12;113.74;118.67
Sweden;99.30;100.00;101.14;103.02;105.12;106.93;107.63;110.49;119.39;126.44
Iceland;99.74;100.00;100.79;99.13;99.86;101.85;103.06;106.84;112.96;121.98
Norway;98.0;100.0;103.9;105.8;109.0;111.5;112.8;117.2;124.5;131.6
Switzerland;100.84;100.00;99.47;100.11;101.03;101.41;100.56;101.04;103.74;106.10
Montenegro;:;100.00;99.93;102.68;105.39;105.94;105.39;108.03;120.92;131.50
North Macedonia;99.87;100.00;100.24;102.35;104.66;105.42;106.73;110.36;125.83;137.15
Albania;:;:;101.51;104.76;106.59;108.39;110.74;113.26;120.69;127.13
Serbia;98.5;100.0;101.3;104.7;106.8;108.8;110.7;115.2;128.7;144.2
TÅrkiye;92.81;100.00;107.66;119.63;139.17;160.30;179.98;215.24;370.82;570.94
United States;100.76;100.00;100.57;102.34;104.55;105.99;106.80;112.50;122.27;125.94
