COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
PRT,Portugal,RD_SUB,R&D subsidies,1990,1990,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,1991,1991,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,1992,1992,IDX,Index,0,Units,,,2,,
PRT,Portugal,RD_SUB,R&D subsidies,1993,1993,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,1994,1994,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,1995,1995,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,1996,1996,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,1997,1997,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,1998,1998,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,1999,1999,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,2000,2000,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,2001,2001,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,2002,2002,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,2003,2003,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,2004,2004,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,2005,2005,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,2006,2006,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,2007,2007,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,2008,2008,IDX,Index,0,Units,,,1,,
