Country,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,41.3,41.4,41.4,41.5,41.6,41.7,41.8,41.8,41.9
Bulgaria,43.7,44.2,44.6,45.0,45.4,45.8,46.3,46.4,46.7
Czechia,40.8,41.1,41.5,41.9,42.3,42.6,43.0,43.6,43.8
Denmark,41.3,41.5,41.5,41.6,41.8,41.9,42.1,42.2,42.3
Germany,45.6,45.9,45.8,45.9,46.0,46.0,45.9,45.9,45.8
Estonia,41.3,41.4,41.6,41.8,42.0,42.1,42.3,42.5,42.6
Ireland,35.8,36.2,36.5,36.9,37.3,37.7,38.0,38.4,38.8
Spain,41.8,42.3,42.7,43.2,43.5,43.9,44.2,44.6,45.1
France,40.7,41.0,41.2,41.4,41.6,41.8,41.9,42.0,42.2
Italy,44.7,45.2,45.6,46.0,46.4,46.8,47.2,47.6,48.0
Cyprus,36.8,37.0,37.2,37.4,37.5,37.7,37.7,38.0,38.3
Latvia,42.4,42.7,42.9,43.1,43.3,43.5,43.7,43.9,44.0
Lithuania,42.5,42.8,43.2,43.6,44.0,44.2,44.4,44.5,44.5
Luxembourg,39.2,39.3,39.3,39.4,39.4,39.5,39.5,39.6,39.7
Hungary,41.4,41.6,41.9,42.3,42.6,43.0,43.3,43.7,43.9
Malta,40.5,40.4,40.4,40.6,40.4,40.1,39.8,40.2,40.5
Austria,42.9,43.0,43.0,43.0,43.2,43.4,43.5,43.6,43.6
Poland,39.2,39.6,39.9,40.3,40.6,41.0,41.3,41.9,42.2
Portugal,43.1,43.6,44.1,44.5,45.0,45.4,45.9,46.3,46.7
Romania,40.8,41.0,41.4,41.8,42.1,42.5,42.8,43.0,43.5
Slovenia,42.5,42.8,43.2,43.5,43.8,44.0,44.1,44.4,44.7
Slovakia,38.6,39.0,39.4,39.8,40.2,40.6,41.0,41.4,41.8
Finland,42.4,42.4,42.5,42.5,42.7,42.9,43.1,43.3,43.4
Sweden,40.9,40.9,40.9,40.8,40.6,40.5,40.5,40.6,40.7
Norway,39.0,39.1,39.2,39.3,39.5,39.7,39.9,40.2,40.4
Türkiye,30.4,30.7,31.1,31.4,31.7,32.0,32.4,32.8,
