Country,Year,Waste,Income,Education,Inflation
Belgium,2014,0.4846721713216538,21705.0,32.6,0.5
Bulgaria,2014,0.3769629388490517,3311.0,23.6,-1.6
Czechia,2014,0.3101645777246892,7622.0,19.1,0.4
Denmark,2014,0.6362892255255023,27861.0,29.4,0.4
Germany,2014,0.4567140359478668,19733.0,23.2,0.8
Estonia,2014,0.3664972158024774,7217.0,32.6,0.5
Ireland,2014,0.328677154855308,20171.0,38.0,0.3
Spain,2014,0.4335805014755759,13269.0,31.7,-0.2
France,2014,0.4288351808588039,21199.0,29.8,0.6
Italy,2014,0.4913625059339143,15759.0,15.0,0.2
Cyprus,2014,0.3774580419580419,14400.0,36.4,-0.3
Latvia,2014,0.3542989445746822,5203.0,26.9,0.7
Lithuania,2014,0.394103930238254,4823.0,31.4,0.2
Luxembourg,2014,0.4418006840343472,34320.0,39.6,0.7
Hungary,2014,0.2996180693278127,4512.0,20.2,0
Malta,2014,0.3611534113734246,12808.0,19.4,0.8
Austria,2014,0.4901419711309147,23211.0,27.4,1.5
Poland,2014,0.2167511234720864,5336.0,23.8,0.1
Portugal,2014,0.4510171875161574,8229.0,19.7,-0.2
Romania,2014,0.1916575622649088,2155.0,14.2,1.4
Slovenia,2014,0.2728538609518773,11909.0,25.1,0.4
Slovakia,2014,0.3199777176631463,6809.0,18.1,-0.1
Finland,2014,0.2940523951299422,23702.0,34.7,1.2
Sweden,2014,0.4326213412651541,25838.0,32.8,0.2
Norway,2014,0.4750478174304077,43775.0,36.1,1.9
Türkiye,2014,0.3278283975669389,3497.0,13.6,8.9
Belgium,2015,0.4651791081492337,21654.0,32.7,0.6
Bulgaria,2015,0.3931517858312493,3332.0,24.1,-1.1
Czechia,2015,0.3246704189870774,7423.0,19.8,0.3
Denmark,2015,0.6230466575475346,28364.0,30.2,0.2
Germany,2015,0.4559784637534416,20668.0,23.8,0.7
Estonia,2015,0.3465845857240032,7889.0,32.0,0.1
Ireland,2015,0.3244583839734279,21629.0,39.0,0
Spain,2015,0.4504175499205947,13352.0,32.1,-0.6
France,2015,0.4324296369687609,21415.0,30.5,0.1
Italy,2015,0.4959700483125634,15846.0,15.5,0.1
Cyprus,2015,0.4214899281377666,13793.0,36.4,-1.5
Latvia,2015,0.3981235717725,5828.0,28.1,0.2
Lithuania,2015,0.3903261460843453,5180.0,33.2,-0.7
Luxembourg,2015,0.379307558342061,35270.0,35.2,0.1
Hungary,2015,0.2974058509923402,4556.0,20.9,0.1
Malta,2015,0.365287637887275,13551.0,19.9,1.2
Austria,2015,0.4903610394027726,23260.0,28.1,0.8
Poland,2015,0.233937648746442,5556.0,24.4,-0.7
Portugal,2015,0.4616679463544002,8435.0,20.7,0.5
Romania,2015,0.1995308476451613,2315.0,15.0,-0.4
Slovenia,2015,0.2919413506740989,12332.0,26.6,-0.8
Slovakia,2015,0.3340982625231083,6930.0,18.9,-0.3
Finland,2015,0.3102810212417175,23763.0,35.5,-0.2
Sweden,2015,0.440189687387903,25306.0,34.0,0.7
Norway,2015,0.4720696654348594,41483.0,36.7,2
Türkiye,2015,0.3423341393956428,3386.0,14.8,7.7
Belgium,2016,0.4456860449768135,22295.0,33.2,1.8
Bulgaria,2016,0.4093406328134469,3151.0,24.4,-1.3
Czechia,2016,0.3391762602494655,7838.0,20.6,0.6
Denmark,2016,0.6098040895695669,28665.0,31.1,0
Germany,2016,0.4552428915590164,21275.0,24.4,0.4
Estonia,2016,0.326671955645529,8645.0,33.1,0.8
Ireland,2016,0.3202396130915479,22544.0,39.5,-0.2
Spain,2016,0.4672545983656134,13681.0,32.7,-0.3
France,2016,0.4360240930787179,21713.0,30.9,0.3
Italy,2016,0.5005775906912127,16247.0,15.7,-0.1
Cyprus,2016,0.4655218143174914,14020.0,37.6,-1.2
Latvia,2016,0.4419481989703178,6365.0,29.5,0.1
Lithuania,2016,0.3865483619304365,5645.0,34.1,0.7
Luxembourg,2016,0.3168144326497746,32841.0,36.4,0
Hungary,2016,0.2951936326568675,4768.0,20.6,0.4
Malta,2016,0.3694218644011253,13617.0,20.3,0.9
Austria,2016,0.4905801076746305,23694.0,28.9,1
Poland,2016,0.2511241740207978,5884.0,25.2,-0.2
Portugal,2016,0.4723187051926431,8782.0,21.4,0.6
Romania,2016,0.2074041330254139,2448.0,15.1,-1.1
Slovenia,2016,0.3110288403963205,12327.0,27.2,-0.2
Slovakia,2016,0.3482188073830703,6951.0,19.7,-0.5
Finland,2016,0.3265096473534928,23650.0,35.9,0.4
Sweden,2016,0.4477580335106517,25164.0,35.3,1.1
Norway,2016,0.469091513439311,39573.0,36.8,3.9
Türkiye,2016,0.3568398812243468,3752.0,16.0,7.7
Belgium,2017,0.4371293258194594,22733.0,35.6,2.2
Bulgaria,2017,0.4374300036126947,3590.0,24.5,1.2
Czechia,2017,0.4431418958686426,8282.0,21.4,2.4
Denmark,2017,0.6091622403500563,29383.0,32.2,1.1
Germany,2017,0.4529375018485042,21920.0,24.8,1.7
Estonia,2017,0.3711398914539147,9384.0,33.6,3.7
Ireland,2017,0.3239694251306508,22879.0,40.4,0.3
Spain,2017,0.4769462823036381,14203.0,33.2,2.0
France,2017,0.4402009691914839,21960.0,31.4,1.2
Italy,2017,0.501868738202672,16542.0,16.5,1.3
Cyprus,2017,0.4564660062289071,14497.0,38.1,0.7
Latvia,2017,0.3702692996501731,6607.0,30.0,2.9
Lithuania,2017,0.4438070519580709,6134.0,34.8,3.7
Luxembourg,2017,0.3166849714930337,36315.0,34.1,2.1
Hungary,2017,0.2887720999883949,4988.0,20.9,2.4
Malta,2017,0.3810635753180956,14522.0,22.1,1.3
Austria,2017,0.4950770983690665,24752.0,29.7,2.2
Poland,2017,0.2515305133768167,5945.0,26.3,1.6
Portugal,2017,0.4883489814290064,9071.0,21.8,1.6
Romania,2017,0.2106519747241517,2742.0,15.3,1.1
Slovenia,2017,0.3111456131072793,12713.0,28.7,1.6
Slovakia,2017,0.3811679473209242,7183.0,20.7,1.4
Finland,2017,0.3480646322609808,23987.0,36.4,0.8
Sweden,2017,0.4464592179007135,25376.0,36.0,1.9
Norway,2017,0.4628574989352492,38471.0,36.8,1.9
Türkiye,2017,0.3522785685569863,3866.0,16.6,11.1
Belgium,2018,0.4285726066621053,23686.0,36.0,2.3
Bulgaria,2018,0.4655193744119426,3590.0,24.8,2.6
Czechia,2018,0.5471075314878198,9088.0,21.7,2.0
Denmark,2018,0.6085203911305458,30104.0,32.6,0.7
Germany,2018,0.4506321121379921,22713.0,25.2,1.9
Estonia,2018,0.4156078272623003,10524.0,34.1,3.4
Ireland,2018,0.3276992371697538,24920.0,40.5,0.7
Spain,2018,0.4866379662416628,14785.0,34.0,1.7
France,2018,0.4443778453042499,22220.0,32.8,2.1
Italy,2018,0.5031598857141313,16844.0,17.2,1.2
Cyprus,2018,0.4474101981403228,15336.0,39.4,0.8
Latvia,2018,0.2985904003300283,7333.0,30.1,2.6
Lithuania,2018,0.5010657419857052,6895.0,36.1,2.5
Luxembourg,2018,0.3165555103362928,34472.0,38.3,2.0
Hungary,2018,0.2823505673199223,5424.0,21.7,2.9
Malta,2018,0.3927052862350659,14781.0,24.7,1.7
Austria,2018,0.4995740890635026,25176.0,30.1,2.1
Poland,2018,0.2519368527328358,6574.0,27.2,1.2
Portugal,2018,0.5043792576653698,9346.0,22.6,1.2
Romania,2018,0.2138998164228895,3284.0,15.5,4.1
Slovenia,2018,0.3112623858182381,13244.0,28.7,1.9
Slovakia,2018,0.414117087258778,7462.0,22.0,2.5
Finland,2018,0.3696196171684687,24544.0,37.3,1.2
Sweden,2018,0.4451604022907752,25540.0,37.1,2.0
Norway,2018,0.4566234844311874,39438.0,37.5,3.0
Türkiye,2018,0.3477172558896257,3499.0,17.3,16.3
Belgium,2019,0.4461117673820696,24608.0,36.0,1.2
Bulgaria,2019,0.4087421966914167,4224.0,24.7,2.5
Czechia,2019,0.5591535339864631,9995.0,21.6,2.6
Denmark,2019,0.6149316929282945,30717.0,33.4,0.7
Germany,2019,0.4566225520058138,23515.0,26.0,1.4
Estonia,2019,0.4148546805373998,11461.0,34.7,2.3
Ireland,2019,0.3575356298365227,25422.0,40.7,0.9
Spain,2019,0.4811704584035195,15015.0,35.1,0.8
France,2019,0.4707565820485314,22562.0,33.8,1.3
Italy,2019,0.4942389875140333,17165.0,17.5,0.6
Cyprus,2019,0.436756827382502,16215.0,40.0,0.5
Latvia,2019,0.3181892727926892,8187.0,31.4,2.7
Lithuania,2019,0.4991146209502366,7586.0,37.9,2.2
Luxembourg,2019,0.3197914237365084,36354.0,41.0,1.6
Hungary,2019,0.3858635380945088,5852.0,22.5,3.4
Malta,2019,0.3881920930597497,15354.0,27.0,1.5
Austria,2019,0.5098852193117551,25729.0,31.1,1.5
Poland,2019,0.3002352199588749,7124.0,28.6,2.1
Portugal,2019,0.5065655827120312,10023.0,23.9,0.3
Romania,2019,0.2170674693395374,3851.0,16.0,3.9
Slovenia,2019,0.3059422106722245,14067.0,29.3,1.7
Slovakia,2019,0.4234029877012829,8119.0,23.1,2.8
Finland,2019,0.408820865375441,24879.0,38.5,1.1
Sweden,2019,0.4475012354739226,24474.0,37.8,1.7
Norway,2019,0.4690935284209227,39125.0,37.7,2.3
Türkiye,2019,0.3451630175054306,3021.0,18.4,15.2
Belgium,2020,0.4636509281020339,25672.0,37.6,0.4
Bulgaria,2020,0.351965018970891,4612.0,25.8,1.2
Czechia,2020,0.5711995364851062,10627.0,22.1,3.3
Denmark,2020,0.6213429947260433,30681.0,33.7,0.3
Germany,2020,0.4626129918736356,26008.0,27.2,0.4
Estonia,2020,0.4141015338124992,12228.0,35.2,-0.6
Ireland,2020,0.3873720225032917,26766.0,42.8,-0.5
Spain,2020,0.4757029505653762,16043.0,36,-0.3
France,2020,0.4971353187928129,22143.0,35.3,0.5
Italy,2020,0.4853180893139353,18067.0,17.8,-0.1
Cyprus,2020,0.4261034566246812,16704.0,40.2,-1.1
Latvia,2020,0.3377881452553501,8827.0,33.2,0.1
Lithuania,2020,0.497163499914768,8606.0,38.7,1.1
Luxembourg,2020,0.323027337136724,37844.0,40.9,0
Hungary,2020,0.4893765088690954,6478.0,23.6,3.4
Malta,2020,0.3836788998844335,16240.0,28.2,0.8
Austria,2020,0.5201963495600077,26555.0,31.3,1.4
Poland,2020,0.348533587184914,8022.0,29.3,3.7
Portugal,2020,0.5087519077586926,10800.0,24.8,-0.1
Romania,2020,0.2202351222561853,4267.0,16.2,2.3
Slovenia,2020,0.300622035526211,14774.0,31.5,-0.3
Slovakia,2020,0.4326888881437878,8703.0,23.9,2
Finland,2020,0.4480221135824134,25490.0,39.8,0.4
Sweden,2020,0.4498420686570699,24700.0,38.3,0.7
Norway,2020,0.481563572410658,40241.0,38.8,1.2
Türkiye,2020,0.3426087791212355,3128.0,19.7,12.3
Belgium,2021,0.4387267380896047,25855.0,39.7,3.2
Bulgaria,2021,0.3707462759675533,5157.0,26.1,2.8
Czechia,2021,0.490559029730013,10625.0,23.4,3.3
Denmark,2021,0.5881347981315688,32088.0,34.8,1.9
Germany,2021,0.4495279472209827,24946.0,28,3.2
Estonia,2021,0.4252699986804853,12623.0,36,4.5
Ireland,2021,0.3721811716786077,28762.0,45.4,2.4
Spain,2021,0.4874082735731114,15892.0,36.2,3
France,2021,0.5039807951013935,22732.0,36.3,2.1
Italy,2021,0.4887729827705748,17532.0,17.8,1.9
Cyprus,2021,0.4240017064820202,16686.0,41.9,2.3
Latvia,2021,0.3557237099421033,9437.0,34.2,3.2
Lithuania,2021,0.5006262988130853,9669.0,39.8,4.6
Luxembourg,2021,0.364897787180627,42482.0,44.5,3.5
Hungary,2021,0.4996893194263071,6619.0,25.4,5.2
Malta,2021,0.3811395687486161,17036.0,29.6,0.7
Austria,2021,0.508271926905675,27428.0,31.8,2.8
Poland,2021,0.3628661721571487,8297.0,29.4,5.2
Portugal,2021,0.50978038893175,11089.0,26.2,0.9
Romania,2021,0.2282230785101739,4830.0,16.4,4.1
Slovenia,2021,0.3040434943431793,15415.0,35.4,2
Slovakia,2021,0.4553135927590737,8473.0,24.7,2.8
Finland,2021,0.3750051286060395,25456.0,35.5,2.1
Sweden,2021,0.4303289502316555,25498.0,39.6,2.7
Norway,2021,0.4468837866587627,35911.0,40.6,3.9
Türkiye,2021,0.3296060166703933,2771.0,20.4,19.6
Belgium,2022,0.4138025480771755,27314.0,40.2,10.3
Bulgaria,2022,0.3895275329642155,5378.0,26.3,13
Czechia,2022,0.4099185229749198,12146.0,23.5,14.8
Denmark,2022,0.5549266015370943,33260.0,35,8.5
Germany,2022,0.4364429025683299,24925.0,27.9,8.7
Estonia,2022,0.4364384635484714,14827.0,36.7,19.4
Ireland,2022,0.3569903208539238,30063.0,46.1,8.1
Spain,2022,0.4991135965808466,16814.0,36.5,8.3
France,2022,0.5108262714099742,23053.0,36.9,5.9
Italy,2022,0.4922278762272143,18592.0,18.1,8.7
Cyprus,2022,0.4218999563393592,17856.0,43.3,8.1
Latvia,2022,0.3736592746288565,10258.0,34.5,17.2
Lithuania,2022,0.5040890977114025,10195.0,41.3,18.9
Luxembourg,2022,0.40676823722453,45310.0,46,8.2
Hungary,2022,0.5100021299835189,6975.0,25.5,15.3
Malta,2022,0.3786002376127988,18155.0,29.4,6.1
Austria,2022,0.4963475042513422,27844.0,32.5,8.6
Poland,2022,0.3771987571293834,8946.0,30,13.2
Portugal,2022,0.5108088701048074,11014.0,26.8,8.1
Romania,2022,0.2362110347641625,5512.0,17.1,12
Slovenia,2022,0.3074649531601476,16544.0,35.1,9.3
Slovakia,2022,0.4779382973743595,8819.0,26,12.1
Finland,2022,0.3019881436296657,26541.0,35.9,7.2
Sweden,2022,0.410815831806241,26738.0,41.1,8.1
Norway,2022,0.4122040009068673,39206.0,41.1,6.2
Türkiye,2022,0.3166032542195512,2804.0,21,72.3
