Country,Year,Waste,Income,Education,Women,Household,Age,Urban
Belgium,2014,484.6721713216538,21705.0,32.6,62.9,2.3,41.3,0.9783300236585468
Bulgaria,2014,376.9629388490517,3311.0,23.6,61.5,2.6,43.7,0.7365100586411457
Czechia,2014,310.1645777246892,7622.0,19.1,64.7,2.4,40.8,0.7338400339675262
Denmark,2014,636.2892255255023,27861.0,29.4,71.0,2.0,41.3,0.8740999118450954
Germany,2014,456.7140359478668,19733.0,23.2,72.1,2.0,45.6,0.7719000030870867
Estonia,2014,366.4972158024774,7217.0,32.6,71.9,2.2,41.3,0.6826902083991038
Ireland,2014,328.677154855308,20171.0,38.0,62.3,2.7,35.8,0.6233999750952178
Spain,2014,433.580501475576,13269.0,31.7,54.8,2.5,41.8,0.7936600041281489
France,2014,428.8351808588039,21199.0,29.8,67.0,2.2,40.7,0.7939399928522813
Italy,2014,491.3625059339143,15759.0,15.0,50.1,2.4,44.7,0.6927199989998214
Cyprus,2014,377.4580419580419,14400.0,36.4,63.9,2.7,36.8,0.6703104091351281
Latvia,2014,354.2989445746822,5203.0,26.9,68.4,2.4,42.4,0.679520128078195
Lithuania,2014,394.103930238254,4823.0,31.4,70.6,2.3,42.5,0.6710800523945332
Luxembourg,2014,441.8006840343472,34320.0,39.6,65.5,2.4,39.2,0.8988404135037631
Hungary,2014,299.6180693278127,4512.0,20.2,64.1,2.4,41.4,0.7022699511111777
Malta,2014,361.1534113734246,12808.0,19.4,54.3,2.6,40.5,0.9434689960833766
Austria,2014,490.1419711309146,23211.0,27.4,70.1,2.2,42.9,0.5752600289526905
Poland,2014,216.7511234720864,5336.0,23.8,58.2,2.8,39.2,0.6040299923168464
Portugal,2014,451.0171875161574,8229.0,19.7,62.9,2.6,43.1,0.6293599634345032
Romania,2014,191.6575622649088,2155.0,14.2,49.2,2.7,40.8,0.5390000160229211
Slovenia,2014,272.8538609518773,11909.0,25.1,63.2,2.5,42.5,0.5355701801181388
Slovakia,2014,319.97771766314634,6809.0,18.1,62.9,2.8,38.6,0.539999915107991
