Country,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
Belgium,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
Bulgaria,2.6,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.3
Cyprus,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6
Czechia,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3
Denmark,2,2,2,2,2.0,2,2,2,2
Estonia,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1
Finland,2,2,2,2,2.0,2,2,1.9,1.9
France,2.2,2.2,2.2,2.2,2.2,2.1,2.2,2.2,2.2
Germany,2,2,2,2,2.0,2,2,2,2
Hungary,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
Ireland,2.7,2.7,2.7,2.7,2.6,2.8,2.7,2.7,2.7
Italy,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.2
Latvia,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.2
Lithuania,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.1,2
Luxembourg,2.4,2.4,2.5,2.5,2.3,2.3,2.2,2.2,2.3
Malta,2.6,2.6,2.5,2.5,2.5,2.5,2.4,2.4,2.4
Norway,2.1,2,2,1.9,2.0,2,2,2,2
Poland,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9
Portugal,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Romania,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.5,2.5
Slovakia,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,3.1
Slovenia,2.5,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.4
Spain,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Sweden,2,2,2,2.1,2.0,2,2,2,2
Türkiye,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.2
