Country,Income Average,Waste Average
Belgium,24451.9,447.0590265089055
Bulgaria,4286.8,400.37619556805134
Czechia,9730.2,443.89903416602186
Denmark,30502.6,607.3509657162452
Germany,23197.7,452.9679332128425
Estonia,10992.6,390.79623916300886
Ireland,25384.5,344.3469954547815
Spain,15137.0,473.1369086033264
France,22317.6,462.7296325283031
Italy,17241.3,494.8329671866946
Cyprus,15838.0,430.78977062345456
Latvia,7930.3,360.95453532407777
Lithuania,7601.7,457.42719439847826
Luxembourg,38284.4,353.960882459322
Hungary,5759.5,372.0301907398631
Malta,15500.4,377.9158416133982
Austria,25909.2,500.04836729662946
Poland,7173.2,288.23489430881114
Portugal,9861.3,490.4043141849843
Romania,3797.2,213.8756709947316
Slovenia,14137.8,301.81163829439737
Slovakia,7866.3,398.5470653475035
Finland,24935.8,353.59595159424015
Sweden,25588.4,438.96408539156516
Norway,39903.7,460.6038742298028
Türkiye,3268.1,340.1088122389056
