Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belgium,32.6,32.7,33.2,35.6,36,36,37.6,39.7,40.2,39.1
Bulgaria,23.6,24.1,24.4,24.5,24.8,24.7,25.8,26.1,26.3,26.7
Czechia,19.1,19.8,20.6,21.4,21.7,21.6,22.1,23.4,23.5,23.5
Denmark,29.4,30.2,31.1,32.2,32.6,33.4,33.7,34.8,35,35.5
Germany,23.2,23.8,24.4,24.8,25.2,26,27.2,28,27.9,29
Estonia,32.6,32,33.1,33.6,34.1,34.7,35.2,36,36.7,36
Ireland,38,39,39.5,40.4,40.5,40.7,42.8,45.4,46.1,46.6
Greece,24.6,25.4,26.4,27.2,27.7,27.8,28.5,30.1,30.5,29.9
Spain,31.7,32.1,32.7,33.2,34,35.1,36,36.2,36.5,37.1
France,29.8,30.5,30.9,31.4,32.8,33.8,35.3,36.3,36.9,37.6
Croatia,18.5,19.7,20,20.6,22,22.1,22.3,22.3,22.8,24.8
Italy,15,15.5,15.7,16.5,17.2,17.5,17.8,17.8,18.1,19.2
Cyprus,36.4,36.4,37.6,38.1,39.4,40,40.2,41.9,43.3,45.7
Latvia,26.9,28.1,29.5,30,30.1,31.4,33.2,34.2,34.5,34
Lithuania,31.4,33.2,34.1,34.8,36.1,37.9,38.7,39.8,41.3,41
Luxembourg,39.6,35.2,36.4,34.1,38.3,41,40.9,44.5,46,45.7
Hungary,20.2,20.9,20.6,20.9,21.7,22.5,23.6,25.4,25.5,25.7
Malta,19.4,19.9,20.3,22.1,24.7,27,28.2,29.6,29.4,30.5
Netherlands,29.7,30.5,31,32.1,33,34.8,36.6,37.5,38.8,38.4
Austria,27.4,28.1,28.9,29.7,30.1,31.1,31.3,31.8,32.5,33.6
Poland,23.8,24.4,25.2,26.3,27.2,28.6,29.3,29.4,30,33.2
Portugal,19.7,20.7,21.4,21.8,22.6,23.9,24.8,26.2,26.8,27.2
Romania,14.2,15,15.1,15.3,15.5,16,16.2,16.4,17.1,16.1
Slovenia,25.1,26.6,27.2,28.7,28.7,29.3,31.5,35.4,35.1,29.8
Slovakia,18.1,18.9,19.7,20.7,22,23.1,23.9,24.7,26,25.8
Finland,34.7,35.5,35.9,36.4,37.3,38.5,39.8,35.5,35.9,35.7
Sweden,32.8,34,35.3,36,37.1,37.8,38.3,39.6,41.1,41.9
Iceland,30.2,31.7,33.4,35.3,36.5,37.7,36.8,35.8,36.4,37.5
Norway,36.1,36.7,36.8,36.8,37.5,37.7,38.8,40.6,41.1,41.9
Switzerland,32.9,34.2,35.4,36.8,37.7,38.6,39.3,39.2,39,40.3
United Kingdom,36.6,37.6,38.3,38.7,39.3,40.6,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,14.2,14.2,14.7
Montenegro,20.2,20,21.2,20.6,20.3,21.8,21.8,:,:,:
North Macedonia,15.2,16.2,17.9,18,17.6,18.3,20,:,:,:
Serbia,17.7,18.7,19.4,19.8,20.4,20.6,21,22,22.6,23.3
Türkiye,13.6,14.8,16,16.6,17.3,18.4,19.7,20.4,21,21.8
