Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,Average
Belgium,62.9,63.0,63.0,63.6,65.5,66.5,65.6,66.8,68.1,65.0
Bulgaria,61.5,63.3,63.6,66.8,67.8,70.2,68.5,69.1,72.1,66.98888888888888
Czechia,64.7,66.4,68.6,70.5,72.2,72.7,71.9,72.1,73.7,70.31111111111112
Denmark,71.0,71.5,72.5,73.2,73.9,74.7,74.3,75.5,77.4,73.77777777777777
Germany,72.1,72.6,73.5,74.2,74.8,75.5,74.4,75.6,76.7,74.3777777777778
Estonia,71.9,73.7,73.7,76.8,76.8,77.5,76.9,77.5,80.4,76.13333333333334
Ireland,62.3,63.7,65.3,66.9,67.9,68.8,65.8,69.9,72.6,67.02222222222221
Greece,43.8,45.6,46.2,47.4,48.3,50.5,48.7,52.7,55.9,48.788888888888884
Spain,54.8,56.4,58.1,59.6,61.0,62.1,60.0,62.1,63.7,59.75555555555555
France,67.0,67.4,67.7,68.1,68.9,69.4,69.3,70.2,71.2,68.80000000000001
Croatia,54.2,55.9,56.6,58.3,60.1,61.2,61.3,63.4,65.5,59.611111111111114
Italy,50.1,50.5,51.6,52.5,53.2,53.9,52.1,53.2,55.0,52.455555555555556
Cyprus,63.9,64.0,64.1,66.2,68.9,70.1,69.1,70.8,73.4,67.83333333333333
Latvia,68.4,70.5,71.7,72.6,74.7,75.5,75.1,72.9,75.5,72.9888888888889
Lithuania,70.6,72.2,74.3,75.5,76.7,77.4,75.8,76.7,78.6,75.31111111111112
Luxembourg,65.5,65.0,65.1,67.5,68.0,68.1,68.5,70.3,71.5,67.72222222222223
Hungary,64.1,66.2,68.9,69.9,70.8,71.3,71.0,73.6,75.4,70.13333333333333
Malta,54.3,55.3,58.0,60.6,63.2,63.9,66.0,68.4,72.9,62.51111111111111
Netherlands,70.8,71.9,72.7,73.9,75.2,76.5,76.6,77.5,79.0,74.89999999999999
Austria,70.1,70.2,70.9,71.4,71.7,72.4,70.6,71.3,73.4,71.33333333333333
Poland,58.2,59.9,61.5,63.0,64.5,65.3,65.4,68.5,70.3,64.06666666666666
Portugal,62.9,64.8,66.5,69.0,71.5,72.1,71.2,72.7,74.3,69.44444444444444
Romania,49.2,50.3,51.4,54.0,54.5,55.4,55.4,56.9,59.1,54.022222222222226
Slovenia,63.2,64.2,66.2,69.3,71.2,72.5,71.7,72.6,74.3,69.46666666666665
Slovakia,62.9,64.6,67.2,69.4,70.3,71.7,70.9,70.4,72.6,68.8888888888889
Finland,71.2,70.7,70.8,71.3,73.4,74.5,73.8,75.8,77.8,73.25555555555555
Sweden,77.2,77.9,78.7,79.2,79.7,79.1,77.5,77.7,79.1,78.45555555555556
Iceland,81.7,83.3,84.4,84.5,83.2,83.0,79.2,77.5,82.1,82.1
Norway,78.1,77.9,78.1,77.6,78.0,78.3,77.9,77.5,78.0,77.93333333333334
Switzerland,76.2,76.8,77.5,77.4,77.9,78.6,78.3,78.1,78.4,77.68888888888888
Montenegro,49.7,51.6,51.3,51.4,52.9,54.2,48.8,,,51.41428571428571
North Macedonia,40.8,42.1,42.5,43.7,45.2,48.4,49.0,,,44.52857142857143
Serbia,45.7,46.8,50.1,52.6,53.9,56.3,57.0,58.9,61.8,53.67777777777778
Türkiye,31.6,32.5,33.2,34.5,35.2,34.4,32.0,34.2,37.0,33.84444444444445
