,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022
Belgium,10396421,10511382,10666866,10839905,11075889,11180840,11311117,11398589,11522440,11617623
Bulgaria,7745147,7629371,7518002,7421766,7327224,7117453,6938759,6757418,6569275,6482484
Czechia,10195347,10223577,10343422,10462088,10505445,10512419,10553843,10610055,10693939,10516707
Denmark,5397640,5427459,5475791,5534738,5580516,5627235,5707251,5781190,5822763,5873420
Germany,82531671,82437995,82217837,81802257,80327900,80767463,82175684,82792351,83166711,83237124
Estonia,1366250,1350700,1338440,1333290,1325217,1315819,1315944,1319133,1328976,1331796
Ireland,4028851,4208156,4457765,4549428,4589287,4637852,4726286,4855733,5012600,5154277
Greece,10940369,11004716,11060937,11119289,11086406,10926807,10783748,10741165,10718565,10459782
Spain,42547451,44009971,45668939,46486619,46818219,46495744,46418884,46645070,47318050,47486843
France,62292241,63229635,64007193,64658856,65276983,66165980,66638391,67026224,67473651,67957053
Croatia,4305725,4312487,4311967,4302847,4275984,4217632,4131115,4014341,3933511,3862305
Italy,57495900,58064214,58652875,59190143,59394207,60345917,60163712,59937769,59641488,59030133
Cyprus,722893,744013,776333,819140,862011,858000,848319,864236,888005,904705
Latvia,2276520,2227874,2191810,2120504,2044813,2001468,1968957,1934379,1907675,1875757
Lithuania,3398929,3289835,3212605,3141976,3003641,2947862,2895573,2826200,2809977,2805998
Luxembourg,454960,469086,483799,502066,524853,549680,576249,602005,626108,645397
Hungary,10116742,10076581,10045401,10014324,9931925,9850217,9779652,9713655,9689376,9610403
Malta,399867,404999,407832,414027,417546,428156,449635,474837,514855,520174
Netherlands,16258032,16334210,16405399,16574989,16730348,16829289,16979120,17181084,17407585,17590672
Austria,8142573,8254298,8307989,8351643,8408121,8507786,8700471,8822267,8901064,8978929
Poland,38190608,38157055,38115641,38022869,38063792,38017856,37967209,37976687,37958138,36889761
Portugal,10473050,10511988,10553339,10573479,10542398,10444092,10368554,10335770,10375395,10421117
Romania,21521142,21257016,20635460,20294683,20095996,19947311,19760585,19533481,19328838,19042455
Slovenia,1996433,2003358,2010269,2046976,2055496,2061085,2064188,2066880,2095861,2107180
Slovakia,5371875,5372928,5376064,5390410,5404322,5415949,5426252,5443120,5457873,5434712
Finland,5219732,5255580,5300484,5351427,5401267,5451270,5487308,5513130,5525292,5548241
Sweden,8975670,9047752,9182927,9340682,9482855,9644864,9851017,10120242,10327589,10452326
European Free Trade Association,12266469,12434143,12681480,12997529,13296582,13610401,13907998,14166313,14376494,14579617
Iceland,290570,299891,315459,317630,319575,325671,332529,348450,364134,376248
Liechtenstein,34294,34905,35356,35894,36475,37129,37622,38114,38747,39308
Norway,4577457,4640219,4737171,4858199,4985870,5107970,5210721,5295619,5367580,5425270
Switzerland,7364148,7459128,7593494,7785806,7954662,8139631,8327126,8484130,8606033,8738791
United Kingdom,59793759,60620361,61571647,62510197,63495088,64351203,65379044,66273576,67025542,:
Bosnia and Herzegovina,3837414,3842650,3843846,3844046,3839265,3830911,3515982,3500295,:,3464384
Montenegro,612214,613109,615543,619001,620308,621521,622218,622359,621873,617683
Moldova,3607435,3589936,3572703,3563695,3559541,2869226,2824387,2730364,2640438,2603729
North Macedonia,2029892,2038514,2045177,2052722,2059794,2065769,2071278,2075301,2076255,1837114
Albania,3034231,3003329,2958266,2918674,2903008,2892394,2875592,2870324,2845955,2793592
Serbia,7470263,7425487,7365507,7306677,7216649,7146759,7076372,7001444,6926705,6797105
Türkiye,67187251,68860539,70586256,72561312,74724269,76667864,78741053,80810525,83154997,84680273
Ukraine,47442079,46749170,46192309,45782592,45453282,45245894,42590879,42216766,41732779,40997698
Kosovo*,2016000,2100000,2153139,2208107,1780021,1820631,1771604,1798506,1782115,:
Georgia,4315200,4401292,4382070,4436391,4497617,4490498,3720400,3729633,3716858,3688647
Andorra,72320,78549,83137,84082,78115,:,71732,74794,77543,79535
Belarus,9849062,9750540,9689770,9480178,9465150,9468154,9498364,9491823,9408350,:
Monaco,32828,:,:,:,:,:,38200,38300,:,:
Russia,144168205,142753551,142008838,141914509,143056383,143666931,:,:,:,:
San Marino,29241,29999,32054,:,33376,32520,33005,34453,34735,33698
Armenia,3212200,3219234,3230086,3249482,3274285,3017079,2998577,2972732,2959694,:
Azerbaijan,8265700,8436400,8629900,8997586,9235085,9477119,9705643,9898085,10067108,10156366
,,,,,,,,,,
Special value,,,,,,,,,,
:,,,,,,,,,,
Available flags:,,,,,,,,,,
be,,,,,,,,,,
bep,,,,,,,,,,
bp,,,,,,,,,,
b,,,,,,,,,,
e,,,,,,,,,,
ep,,,,,,,,,,
p,,,,,,,,,,
