Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belgium,0.5,0.6,1.8,2.2,2.3,1.2,0.4,3.2,10.3,2.3
Bulgaria,-1.6,-1.1,-1.3,1.2,2.6,2.5,1.2,2.8,13,8.6
Czechia,0.4,0.3,0.6,2.4,2,2.6,3.3,3.3,14.8,12
Denmark,0.4,0.2,0,1.1,0.7,0.7,0.3,1.9,8.5,3.4
Germany,0.8,0.7,0.4,1.7,1.9,1.4,0.4,3.2,8.7,6
Estonia,0.5,0.1,0.8,3.7,3.4,2.3,-0.6,4.5,19.4,9.1
Ireland,0.3,0,-0.2,0.3,0.7,0.9,-0.5,2.4,8.1,5.2
Greece,-1.4,-1.1,0,1.1,0.8,0.5,-1.3,0.6,9.3,4.2
Spain,-0.2,-0.6,-0.3,2,1.7,0.8,-0.3,3,8.3,3.4
France,0.6,0.1,0.3,1.2,2.1,1.3,0.5,2.1,5.9,5.7
Croatia,0.2,-0.3,-0.6,1.3,1.6,0.8,0,2.7,10.7,8.4
Italy,0.2,0.1,-0.1,1.3,1.2,0.6,-0.1,1.9,8.7,5.9
Cyprus,-0.3,-1.5,-1.2,0.7,0.8,0.5,-1.1,2.3,8.1,3.9
Latvia,0.7,0.2,0.1,2.9,2.6,2.7,0.1,3.2,17.2,9.1
Lithuania,0.2,-0.7,0.7,3.7,2.5,2.2,1.1,4.6,18.9,8.7
Luxembourg,0.7,0.1,0,2.1,2,1.6,0,3.5,8.2,2.9
Hungary,0,0.1,0.4,2.4,2.9,3.4,3.4,5.2,15.3,17
Malta,0.8,1.2,0.9,1.3,1.7,1.5,0.8,0.7,6.1,5.6
Netherlands,0.3,0.2,0.1,1.3,1.6,2.7,1.1,2.8,11.6,4.1
Austria,1.5,0.8,1,2.2,2.1,1.5,1.4,2.8,8.6,7.7
Poland,0.1,-0.7,-0.2,1.6,1.2,2.1,3.7,5.2,13.2,10.9
Portugal,-0.2,0.5,0.6,1.6,1.2,0.3,-0.1,0.9,8.1,5.3
Romania,1.4,-0.4,-1.1,1.1,4.1,3.9,2.3,4.1,12,9.7
Slovenia,0.4,-0.8,-0.2,1.6,1.9,1.7,-0.3,2,9.3,7.2
Slovakia,-0.1,-0.3,-0.5,1.4,2.5,2.8,2,2.8,12.1,11
Finland,1.2,-0.2,0.4,0.8,1.2,1.1,0.4,2.1,7.2,4.3
Sweden,0.2,0.7,1.1,1.9,2,1.7,0.7,2.7,8.1,5.9
Iceland,1,0.3,0.8,-1.7,0.7,2,1.2,3.7,5.7,8
Norway,1.9,2,3.9,1.9,3,2.3,1.2,3.9,6.2,5.8
Switzerland,0,-0.8,-0.5,0.6,0.9,0.4,-0.8,0.5,2.7,2.3
United Kingdom,1.5,0,0.7,2.7,2.5,1.8,:,:,:,:
Montenegro,:,:,-0.1,2.7,2.6,0.5,-0.5,2.5,11.9,8.7
North Macedonia,0,0.1,0.2,2.1,2.3,0.7,1.2,3.4,14,9
Albania,:,:,:,3.2,1.8,1.7,2.2,2.3,6.6,5.3
Serbia,2.3,1.5,1.3,3.3,2,1.9,1.8,4,11.7,12.1
Türkiye,8.9,7.7,7.7,11.1,16.3,15.2,12.3,19.6,72.3,54
United States,1.3,-0.8,0.6,1.8,2.2,1.4,0.8,5.3,8.7,3
