,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022
Belgium,5325207,4745161,4459161,5862032,5294743,5419042,5041207,4885123,5342390,4807402
Bulgaria,2633592,2928981,2907121,3529458,2754523,2683016,2840316,3145709,2312155,2525106
Czechia,2841428,3482017,3176176,3334240,3232642,3260580,3579613,5804841,6108373,4310993
Denmark,2016209,2069635,2514155,3550267,3332998,3580549,3480305,3517972,3617933,3259317
Germany,38007849,34626019,35754996,36311611,36471810,36887634,37409896,37308892,38474001,36328252
Estonia,401989,411633,439973,430499,436420,482244,429882,548242,550331,581247
Ireland,1702345,1978711,1677338,1730028,1656670,1524356,1513544,1591220,1941741,1840027
Greece,4212962,4132645,3954486,5197519,NaN,NaN,4788941,4607377,4519526,3995483
Spain,24409990,24078307,24431321,23198185,21224354,20159648,21689437,22699262,22509336,23701329
France,25688700,26832200,29310520,29306586,29705157,28374300,29055944,29784969,33543535,34714248
Croatia,NaN,183162,NaN,NaN,1190553,1162112,1144199,1293535,1212068,1225456
Italy,31149585,32522650,32471571,32478921,29993530,29651721,30116606,30158281,28945093,29056277
Cyprus,367353,356520,432858,461227,369586,323859,394911,386668,378382,381695
Latvia,543490,853889,606077,694013,1213193,709118,870177,577587,644390,700894
Lithuania,601749,1298932,1362620,1261400,1176825,1161764,1119279,1416112,1397018,1414473
Luxembourg,221014,191580,276272,250061,249010,242849,182564,190568,202250,262527
Hungary,4442050,2978311,3466071,2864896,2680573,2951303,2886891,2742656,4741753,4901326
Malta,132387,130208,145817,157740,149603,154630,166105,186471,197539,196938
Netherlands,9455209,9416499,9434770,9084649,NaN,NaN,8549762,8633590,9284698,8270075
Austria,3441041,3711839,3819277,4622626,4020113,4170023,4268278,4407376,4630301,4456669
Poland,6768077,6885997,6879294,8889685,9324197,8240413,9534484,9567727,13229686,13914772
Portugal,4582610,4641103,5466307,5440930,4731431,4710465,4897262,5213148,5278502,5323199
Romania,3638200,6368670,6503356,5164479,4525388,3823053,4098427,4178208,4256889,4498038
Slovenia,660980,1088875,714165,727708,641449,562375,642022,643342,630062,647884
Slovakia,1475121,1623306,1772426,1719012,1656571,1732983,1889523,2254089,2361561,2597457
Finland,1164497,1191220,1674400,1680763,1733525,1602959,1791659,2037761,2475453,1675503
Sweden,4079432,4340669,4393002,4038272,4193105,4172574,4410872,4505131,4645784,4293981
Iceland,141487,NaN,NaN,232256,232921,299413,430925,519927,415705,NaN
Liechtenstein,NaN,NaN,NaN,NaN,316274,26988,27167,29402,32668,31858
Norway,1933939,2199862,2224522,2228608,2437776,2426530,2444305,2418104,2584831,2236318
Switzerland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
United Kingdom,31007480,32466328,31539338,27393710,26416270,26797105,27300581,26410926,NaN,NaN
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,NaN,NaN,NaN,920541,922843,929136
Montenegro,NaN,NaN,NaN,NaN,208245,230274,246885,254356,230684,255879
North Macedonia,NaN,NaN,NaN,451382,NaN,NaN,NaN,NaN,NaN,507138
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Serbia,NaN,NaN,NaN,NaN,NaN,1637251,1589709,1863029,2063247,2225139
Türkiye,29224710,30081820,28454025,29587465,30785436,25133903,28097948,28099214,28489632,26810050
Kosovo*,NaN,NaN,NaN,NaN,490045,490045,302741,338652,379391,379
